Datetime,FrameFilePath,Confidence,X,Y,Width,Height,FaceID
2023-09-22 10:09:12.029377,images/frames/66c818fe-5edf-4bd0-8ae5-a991fedd860a.jpg,7.13026410684688,488,83,184,184,1
2023-09-22 10:09:12.499205,images/frames/4d8c35b9-5524-4c9a-a427-c9badf9a3742.jpg,8.599706013861578,456,232,206,206,2
2023-09-22 10:09:21.703040,images/frames/06b7809d-015e-4f63-9cbb-a5e034778f2f.jpg,7.619004063191824,444,281,203,203,1
2023-09-22 10:09:31.070714,images/frames/3885838f-7c4f-488c-8d02-cc9d098f2858.jpg,8.107451080984902,475,289,186,186,1
2023-09-22 10:09:42.987137,images/frames/98222788-5b4b-497b-9abb-ec0b1ede3136.jpg,8.669870143639855,482,275,187,187,2
2023-09-22 10:11:08.237549,images/frames/cd5d1676-d102-4cc9-bab5-375727d9c8f2.jpg,7.276370025414508,385,117,142,142,1
2023-09-22 10:11:24.439207,images/frames/9778aa8a-0aa6-4ec3-8a3c-311b44727202.jpg,7.6165521225193515,453,159,139,139,1
2023-09-22 10:11:42.700569,images/frames/3ed93ecf-e9f6-4d10-921e-9200b5a927a3.jpg,3.681089043209795,460,236,146,146,1
2023-09-22 10:12:02.994797,images/frames/b9d3645c-5017-44a9-aa2b-7637505da731.jpg,5.178842086985242,332,281,130,130,1
2023-09-22 10:12:03.082949,images/frames/dac02ae5-0178-4603-b2d3-bc338e5a87d5.jpg,7.948408103431575,448,316,156,156,1
2023-09-22 10:12:28.724299,images/frames/ab7c11b8-987b-432d-98ff-6d248c66aaa0.jpg,6.5537521071964875,470,353,154,154,1
2023-09-22 10:12:49.871236,images/frames/2827b549-6b83-4ff1-9c57-728c0b3ddea4.jpg,10.097736009804066,489,337,161,161,1
2023-09-22 10:13:12.578819,images/frames/00abbc88-ef29-40e3-ae7f-dc164c33ca7c.jpg,9.402578934503254,515,324,157,157,1
2023-09-22 10:13:38.431557,images/frames/2b5bc589-2460-48f0-91e6-24d6ce94cc2c.jpg,8.023731000197586,535,321,156,156,1
2023-09-22 10:13:59.639443,images/frames/d9fc1a5a-d9d2-45a8-90c6-f8173091f452.jpg,8.473552106064744,535,316,155,155,1
2023-09-22 10:14:24.170960,images/frames/518e0b2b-afdb-4718-9186-f590ad9a2dc1.jpg,9.938039050379302,499,257,144,144,1
2023-09-22 10:15:33.674083,images/frames/2ac7bc19-c187-4996-befc-f88d969842aa.jpg,2.7126842458965257,333,289,116,116,1
2023-09-22 10:22:58.588098,images/frames/2b4008dd-b0be-48ea-910f-dcc222fc7ba7.jpg,2.8475501248030923,1006,559,54,54,1
