2023-09-22 10:12:49.418 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:12:49.869 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2827b549-6b83-4ff1-9c57-728c0b3ddea4.jpg
2023-09-22 10:13:00.307 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:13:00.373 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:13:12.086 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:13:12.577 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/00abbc88-ef29-40e3-ae7f-dc164c33ca7c.jpg
2023-09-22 10:13:35.603 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:13:38.430 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2b5bc589-2460-48f0-91e6-24d6ce94cc2c.jpg
2023-09-22 10:13:53.628 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:13:59.183 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:13:59.638 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/d9fc1a5a-d9d2-45a8-90c6-f8173091f452.jpg
2023-09-22 10:14:23.711 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:14:24.170 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/518e0b2b-afdb-4718-9186-f590ad9a2dc1.jpg
2023-09-22 10:14:41.590 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:14:41.593 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:14:41.599 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:14:41.601 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:14:41.602 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:14:41.615 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:14:45.059 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:14:54.791 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:15:08.970 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:15:08.972 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:15:26.973 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:15:26.974 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:15:33.672 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2ac7bc19-c187-4996-befc-f88d969842aa.jpg
2023-09-22 10:15:52.940 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:16:07.018 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:16:30.483 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:17:18.654 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2db0efd5-218e-4a46-8a07-0b1d71c7b663.jpg
2023-09-22 10:17:38.387 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:17:44.240 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:18:04.010 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:18:04.014 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:20:19.049 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:20:19.138 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:21:35.767 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:22:58.586 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2b4008dd-b0be-48ea-910f-dcc222fc7ba7.jpg
2023-09-22 10:23:17.608 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:23:19.943 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
