Datetime,Frame File Path,Confidence,X,Y,Width,Height
2023-09-18 08:53:14.199997,images/frames/58c433b1-3c6b-4c05-b1aa-c892de0e5a1a.jpg,0.9758688807487488,418,363,81,95
2023-09-18 08:53:14.341490,images/frames/99202cd5-65a2-42b0-93aa-815cd9c71f5f.jpg,0.9521963596343994,409,360,81,96
2023-09-18 08:53:14.489420,images/frames/50a42608-3011-4dee-82f4-bb739656d296.jpg,0.9723825454711914,388,355,89,96
2023-09-18 08:53:14.627093,images/frames/8009b6f2-986a-4ae1-b0bb-a9c9bf3071fe.jpg,0.9405784606933594,375,338,81,101
2023-09-18 08:53:14.785241,images/frames/9aec46a5-8849-4a94-9a1f-92da499a5c9a.jpg,0.9883240461349488,354,328,89,103
2023-09-18 08:53:14.935499,images/frames/6d174de7-2430-4f9d-bc41-9397719fbc7e.jpg,0.968936800956726,345,321,85,100
2023-09-18 08:53:15.078823,images/frames/71defd11-fca4-4734-b29b-d6c0a2430703.jpg,0.9751988649368286,337,311,85,98
2023-09-18 08:53:15.215419,images/frames/67b6b112-20e5-4d1d-95ff-71b870e3e299.jpg,0.9368337392807008,320,301,93,98
2023-09-18 08:53:15.353442,images/frames/6580ff9b-79b3-4412-9dec-946ed2bc2bc0.jpg,0.971947968006134,302,279,90,113
2023-09-18 08:53:15.503203,images/frames/23bb619e-4833-4709-badb-8a3a546f499e.jpg,0.9249346852302552,298,277,90,105
2023-09-18 08:53:15.667160,images/frames/7997af26-7648-4bea-9a30-af158fc971d1.jpg,0.9794996976852416,281,267,98,110
2023-09-18 08:53:15.828959,images/frames/b04e1b5b-8cef-4201-a888-8731cc59207f.jpg,0.9610693454742432,273,262,93,101
2023-09-18 08:53:15.967003,images/frames/c532b970-2be5-4486-a835-46ad260e3bef.jpg,0.9167487025260924,260,257,94,108
2023-09-18 09:12:58.407009,images/frames/1974d7db-b60f-4b53-bc8f-a3a2d24337b2.jpg,0.987709641456604,354,166,89,91
2023-09-18 11:00:55.837363,images/frames/42ecdfe4-070d-46b2-b0c5-559cf9d306b7.jpg,0.9319210648536682,281,394,77,89
2023-09-18 11:00:56.089074,images/frames/053100bf-bf19-4f56-984e-3490091e8190.jpg,0.9343588948249816,256,377,72,96
2023-09-18 11:00:56.875129,images/frames/a4784b40-ca4c-49e7-8222-cb0fbabb2443.jpg,0.9288631081581116,136,321,81,98
2023-09-18 11:00:57.163654,images/frames/eab68085-ca24-4a19-9b04-dc3d532f5bed.jpg,0.9453489780426024,115,314,72,95
2023-09-18 11:00:57.564045,images/frames/e1dc24ba-a0a2-4315-a3e4-880c6b4e18f7.jpg,0.9285042881965636,68,284,77,115
2023-09-18 11:00:57.833495,images/frames/32fd0e66-d023-4eec-816c-577adc731946.jpg,0.9382346868515016,46,262,77,125
2023-09-18 11:01:26.956471,images/frames/86b8db37-2a06-48fa-aeee-1a1377faa87f.jpg,0.9458865523338318,217,242,77,84
2023-09-18 11:23:19.062712,images/frames/6c79352b-fe1f-487b-b136-bd34bd2e2352.jpg,0.918437123298645,315,242,90,94
2023-09-18 11:23:19.217133,images/frames/282f7378-c5e0-415b-bc15-e52ccd902d85.jpg,0.9003693461418152,307,242,85,91
2023-09-19 03:11:07.092905,images/frames/898a9ca3-4ba3-42f6-8bdb-490656e286b9.jpg,0.992151141166687,520,255,85,93
2023-09-19 03:11:07.387496,images/frames/83d6199e-efd7-4e1b-a9a2-9cbabd53e2b4.jpg,0.9760520458221436,541,272,86,96
2023-09-19 03:11:07.679427,images/frames/c3db7240-a106-4dbc-a0b9-fdd0d3617051.jpg,0.9449254870414734,571,291,73,89
2023-09-19 03:11:08.359155,images/frames/a6cde603-376e-405b-a94a-8f94b3854e4d.jpg,0.9150177240371704,580,306,77,88
2023-09-19 03:11:08.595367,images/frames/1535e451-2ab3-4c60-b4ca-ff953e8039c8.jpg,0.9435337781906128,588,311,73,91
2023-09-19 03:11:08.951484,images/frames/09527eff-9deb-4fa5-8dea-cd04efa643df.jpg,0.9839394092559814,593,321,72,88
2023-09-19 03:11:09.311841,images/frames/ac17cbad-b300-4337-bd7d-5fb3cc3351bd.jpg,0.9184274673461914,597,331,77,81
2023-09-19 03:11:11.453929,images/frames/7dcf13a3-8416-415a-bf09-33dfdda81f75.jpg,0.9179134368896484,614,314,77,83
2023-09-19 03:11:11.881176,images/frames/824063ee-8fbc-44e9-b3d8-69b5cd013e3c.jpg,0.9463571310043335,618,309,77,83
2023-09-19 03:11:12.098998,images/frames/b2b365a2-7aba-4725-9a27-f35b79a47508.jpg,0.9434800744056702,618,306,77,84
2023-09-19 03:11:12.349596,images/frames/5dc280e0-26f7-4ccf-bd44-4255b3b4ecf9.jpg,0.9606561660766602,618,306,77,84
2023-09-19 03:11:12.599705,images/frames/84ffd8ca-5c44-43dc-922f-7fea77b25a53.jpg,0.9759682416915894,622,301,73,84
2023-09-19 03:11:12.851581,images/frames/16571422-a4a8-4045-82e3-86bccf281a62.jpg,0.9890444278717041,618,294,77,88
2023-09-19 03:11:13.150720,images/frames/fde82c70-b2cd-4f03-a199-47ac06d29f8c.jpg,0.9766864776611328,618,287,81,93
2023-09-19 03:11:13.396954,images/frames/9cd4fa4e-79d3-44ed-94ad-f04cbf4b1fe7.jpg,0.9818820357322693,618,282,81,90
2023-09-19 03:11:13.690097,images/frames/fc08cb83-8f99-4497-b197-43719fb06a08.jpg,0.9876437187194824,618,277,77,88
2023-09-19 03:11:13.893136,images/frames/7cf519ef-fd79-45b0-8743-120ef553ea10.jpg,0.9513528347015381,614,260,81,90
2023-09-19 03:11:14.156765,images/frames/0fc672e2-46c1-4fd8-896d-7d9c0ae6adfa.jpg,0.9031089544296265,605,245,86,98
2023-09-19 03:11:14.406375,images/frames/6984c82b-89f2-4009-a310-af4bc049a745.jpg,0.9001814126968384,601,242,81,94
2023-09-19 03:23:02.955768,images/frames/7a6304b0-6dda-43b6-be65-2ae7c78a5650.jpg,0.970619261264801,320,392,81,91
2023-09-19 03:23:03.197640,images/frames/e1269081-9f8c-4ab4-9d5f-00b0f7971834.jpg,0.98508620262146,285,385,81,98
2023-09-19 03:23:03.349852,images/frames/3774da6a-7e00-4930-9685-8c55e598fa49.jpg,0.9595924019813538,273,385,76,90
2023-09-19 03:23:03.519264,images/frames/af60d949-95f7-4d9a-a6d1-b53c7a80d5bd.jpg,0.9030895233154297,260,382,77,96
2023-09-19 03:23:03.679954,images/frames/2995688d-2d96-41f3-b5d7-de083807df8e.jpg,0.990715742111206,247,375,77,100
2023-09-19 03:23:03.839545,images/frames/a6f99ec9-f984-4f02-aafb-8d3736ba0560.jpg,0.9952449202537537,217,360,85,108
2023-09-19 03:23:03.990574,images/frames/cdef3795-2f54-4c10-8fdf-e49c338f46ed.jpg,0.9911256432533264,209,360,81,96
2023-09-19 03:23:04.144870,images/frames/ebcfa7cb-e7c5-46c6-8482-e79dd77898e6.jpg,0.9672396183013916,196,345,89,108
2023-09-19 03:23:04.317602,images/frames/37c70d9d-5b43-470b-b45b-161089b4db2b.jpg,0.9445919990539551,192,336,81,115
2023-09-19 03:23:04.483482,images/frames/cecc993e-25f1-4dbf-acb3-dbf5fac61fd1.jpg,0.9875041842460632,179,333,89,113
2023-09-19 03:23:04.626253,images/frames/4bfca71f-e6d6-4149-bf85-ec202ca75bfd.jpg,0.9941945672035217,170,314,90,120
2023-09-19 03:23:04.786806,images/frames/bb57a6a2-e1e7-45fc-9ae3-8402327bf178.jpg,0.9872338771820068,166,314,94,117
